,Media Source,Tweet,DateTime,Tweets Ago,Compound,Positive,Neutral,Negative
15,@nytimes,"Working from home sounds luxurious, until you have to get things done. Here's how to do it right. https://t.co/9ciMGbQHlt",2017-09-20 00:07:04+00:00,16,0.0,0.0,1.0,0.0
16,@nytimes,Senate panel cancels meeting with Trump lawyer over public comments https://t.co/1QQuwI9OYH,2017-09-19 23:57:04+00:00,17,-0.2263,0.0,0.84,0.16
17,@nytimes,RT @nytopinion: Watch what one man saw in the year he spent with the alt-right https://t.co/KcjxxEyxBg,2017-09-19 23:47:01+00:00,18,0.0,0.0,1.0,0.0
18,@nytimes,Reviews of the iPhone 8 and iPhone 8 Plus are in https://t.co/2RBga9QgJV,2017-09-19 23:37:02+00:00,19,0.0,0.0,1.0,0.0
19,@nytimes,Tracking Hurricane Maria’s path https://t.co/T9esWfqGnq,2017-09-19 23:27:04+00:00,20,0.0,0.0,1.0,0.0
20,@nytimes,RT @PamelaPaulNYT: The brothers Green! https://t.co/FiZ2B7ydbk,2017-09-19 23:17:04+00:00,21,0.0,0.0,1.0,0.0
21,@nytimes,"""Isn’t that the Trump lawyer?"": Here's how our reporter @kenvogel landed an accidental scoop. https://t.co/zOJ3qljupy",2017-09-19 23:07:03+00:00,22,0.0772,0.101,0.818,0.082
22,@nytimes,"Caribbean island nation of Dominica sustained “mind boggling” damage from Hurricane Maria, prime minister said https://t.co/zqrsMJUpXV",2017-09-19 22:57:02+00:00,23,-0.4939,0.0,0.824,0.176
23,@nytimes,"RT @meslackman: More than 90 dead “You can do this, goddamn it, fight for your life, please!” screamed a man as he ran by the gurney https:…",2017-09-19 22:47:06+00:00,24,-0.9243,0.0,0.622,0.378
24,@nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/QVD6xGjbZh,2017-09-19 22:32:04+00:00,25,0.0,0.0,1.0,0.0
25,@nytimes,"Blue states face biggest cuts under new Republican health care plan
https://t.co/5AiTEue6vp https://t.co/TMmZ9ofH3j",2017-09-19 22:17:07+00:00,26,0.25,0.195,0.671,0.134
26,@nytimes,"RT @sangerkatz: In case you were wondering, Graham-Cassidy could have effects on employer coverage too, same as BCRA. https://t.co/EJxPqAXc…",2017-09-19 22:01:05+00:00,27,0.0,0.0,1.0,0.0
27,@nytimes,Read the study rejected by the Trump administration that shows the revenue brought in by refugees https://t.co/2Ye1rXzAMm,2017-09-19 21:48:00+00:00,28,-0.5106,0.0,0.829,0.171
28,@nytimes,"During the earthquake, some facades fell, crushing cars and trapping some people inside, officials said https://t.co/LZNRRpYqmS",2017-09-19 21:36:01+00:00,29,-0.3612,0.0,0.857,0.143
29,@nytimes,"Breaking News: At least 42 are dead in the earthquake in Mexico, and 20 buildings in Mexico City collapsed. https://t.co/DAG8h6EqGW",2017-09-19 21:23:41+00:00,30,-0.7506,0.0,0.738,0.262
30,@nytimes,"Looking for a new recipe? Try this potato nik. It's basically a giant, crisp potato pancake. https://t.co/QtQHmslYja https://t.co/H4YmOMxYKB",2017-09-19 21:16:07+00:00,31,0.0,0.0,1.0,0.0
31,@nytimes,"RT @nytimesbooks: Ellen Pao on being a woman in a man's world: “If you talk, you talk too much. If you don’t talk, you’re too quiet."" https…",2017-09-19 21:01:07+00:00,32,0.0,0.0,1.0,0.0
32,@nytimes,"For Yotam Ottolenghi, there's no limit to the number of times you can make a cake in order to get it right… https://t.co/Boq4JFjUdn",2017-09-19 20:46:07+00:00,33,-0.2263,0.055,0.851,0.094
33,@nytimes,NYT advertising reporter @sapna took part in a public relations crisis simulation. It ended badly. https://t.co/Zl6rWxB5Kz,2017-09-19 20:31:07+00:00,34,-0.802,0.0,0.644,0.356
34,@nytimes,What is it they say about teaching a man to fish? https://t.co/rYwymROOgG,2017-09-19 20:16:01+00:00,35,0.0,0.0,1.0,0.0
35,@nytimes,"RT @nytimesarts: A Rwanda-born choreographer tackles rape and genocide: ""A question of creating, mending, performing, witnessing"" https://t…",2017-09-19 20:01:02+00:00,36,-0.5423,0.105,0.67,0.225
36,@nytimes,"Almost two weeks after being grazed by Hurricane Irma, Puerto Rico is bracing for a potentially devastating sequel https://t.co/27mK3LKyjY",2017-09-19 19:46:04+00:00,37,-0.6486,0.0,0.798,0.202
37,@nytimes,A white man in Baton Rouge has been charged with murder in the killings of two black men last week https://t.co/VVw4IqFlda,2017-09-19 19:31:09+00:00,38,-0.9001,0.0,0.607,0.393
38,@nytimes,Here's a look at how past presidents have addressed the U.N. https://t.co/3IdnERa3Yx,2017-09-19 19:16:05+00:00,39,0.0,0.0,1.0,0.0
39,@nytimes,"A 7.1 earthquake struck close to Mexico City, rattling the capital for the second time in just two weeks https://t.co/8xr6Xj4jax",2017-09-19 18:59:30+00:00,40,-0.25,0.0,0.9,0.1
40,@nytimes,RT @kerrimac: New Instagram Story on https://t.co/SKJsd8KAHk: @bcsolomon is covering the Rohingya crisis from a makeshift refugee camp in B…,2017-09-19 18:46:05+00:00,41,-0.6249,0.0,0.814,0.186
41,@nytimes,"Trump's sharp-edged condemnations of North Korea, Iran and Venezuela drew the most attention in the room… https://t.co/uR6xBu3nkB",2017-09-19 18:29:02+00:00,42,0.0,0.0,1.0,0.0
42,@nytimes,President Trump drew a series of good-versus-evil lines in his bellicose speech to the United Nations… https://t.co/bdC1A3QoE0,2017-09-19 18:21:53+00:00,43,0.4215,0.157,0.843,0.0
43,@nytimes,The most rewarding parts of my far-flung trips have been the explorations of my own family https://t.co/eZtxNXAz3n,2017-09-19 18:01:07+00:00,44,0.6115,0.25,0.75,0.0
44,@nytimes,"RT @jessemckinley: .@NYGovCuomo bet big on casinos, but the results are a push, so far. https://t.co/OGMPe0Y3Yv",2017-09-19 17:47:16+00:00,45,0.0,0.0,1.0,0.0
45,@nytimes,The 2017 hurricane season really is more intense than normal https://t.co/nPX0GwJ0e4,2017-09-19 17:31:08+00:00,46,0.216,0.157,0.843,0.0
46,@nytimes,"California could become the first state to ban sale of puppies, bunnies and kittens that don't come from shelters https://t.co/MFFAWwN9NN",2017-09-19 17:16:05+00:00,47,-0.5574,0.0,0.841,0.159
47,@nytimes,RT @nytopinion: .@AmberTamblyn discussed her Op-Ed on the way we disbelieve women and how to change it — watch on Facebook: https://t.co/UY…,2017-09-19 17:01:05+00:00,48,-0.296,0.0,0.901,0.099
48,@nytimes,A towering monument to the designer of the AK-47 has been unveiled in central Moscow https://t.co/CEUaLVpZfq,2017-09-19 16:46:07+00:00,49,0.0,0.0,1.0,0.0
49,@nytimes,"10 years ago, Kharon Davis was charged with murder and booked into county jail. He is still there, awaiting trial. https://t.co/BSlWe11isV",2017-09-19 16:31:05+00:00,50,-0.7579,0.0,0.745,0.255
50,@nytimes,Tracking Hurricane Maria’s path https://t.co/511PLXLFTI https://t.co/uv9Ll0dFd0,2017-09-19 16:16:07+00:00,51,0.0,0.0,1.0,0.0
51,@nytimes,A new study found that playing tackle football before the age of 12 can lead to more brain problems later in life https://t.co/Vzoqbl8BIF,2017-09-19 16:01:34+00:00,52,-0.2911,0.073,0.807,0.12
52,@nytimes,Trump’s longtime lawyer said that critics are using rumors about Russia to undercut the president https://t.co/psqxdFjLCk,2017-09-19 15:47:28+00:00,53,-0.296,0.0,0.872,0.128
53,@nytimes,"RT @kenvogel: How I got the Cobb-Dowd @BLTSteakDC scoop, including shooing away @nytimes colleagues who unwittingly interrupted. https://t.…",2017-09-19 15:31:06+00:00,54,-0.1531,0.085,0.798,0.117
54,@nytimes,Climate change is complex. We've got answers to your questions. https://t.co/dgJbt0zFV1 https://t.co/0Ngm7oSXI3,2017-09-19 15:15:17+00:00,55,0.0,0.0,1.0,0.0
55,@nytimes,RT @nytpolitics: Jim Mattis said he thought the U.S. had military options to handle North Korea that would not put Seoul at risk https://t.…,2017-09-19 15:02:12+00:00,56,-0.2732,0.0,0.916,0.084
56,@nytimes,"After condemning North Korea,  Trump pivoted to the next “rogue nation” — Iran. https://t.co/BPi8TZ8rwg https://t.co/uawWlpMwWj",2017-09-19 14:49:34+00:00,57,0.0,0.0,1.0,0.0
57,@nytimes,"RT @juliehdavis: Trump uses UN address to argue against accepting refugees, says for cost of admitting 1 to US &gt; 10 can be helped closer to…",2017-09-19 14:41:21+00:00,58,0.0516,0.093,0.821,0.086
58,@nytimes,"Trump denounced Kim Jong-un, saying North Korea “threatens the entire world with unthinkable loss of life”… https://t.co/opZyuEYxj4",2017-09-19 14:37:15+00:00,59,-0.3182,0.0,0.874,0.126
59,@nytimes,"Breaking News: At the UN, Trump threatened to “totally destroy North Korea,” calling its leader a “rocket man” https://t.co/BPi8TZ8rwg",2017-09-19 14:30:16+00:00,60,-0.7579,0.0,0.711,0.289
60,@nytimes,"RT @rickgladstone: In his first #UNGA speech, Trump says: 
'we want harmony and friendship, not conflict and strife. we are guided by outco…",2017-09-19 14:18:35+00:00,61,0.7822,0.318,0.682,0.0
61,@nytimes,"Breaking News: Watch live as President Trump addresses the UN General Assembly for the first time
https://t.co/qbMpR9ntjB",2017-09-19 14:07:00+00:00,62,0.0,0.0,1.0,0.0
62,@nytimes,RT @melbournecoal: Why I cover the media https://t.co/8kZmkEV4oP,2017-09-19 14:05:02+00:00,63,0.0,0.0,1.0,0.0
63,@nytimes,Morning Briefing: Here's what you need to know to start your day https://t.co/04h4FXq8Ir https://t.co/7iR5PjN8Mf,2017-09-19 14:00:21+00:00,64,0.0,0.0,1.0,0.0
64,@nytimes,"From SNL to ""The Handmaid’s Tale,"" shows with a political — and anti-Trump — viewpoint ruled the day at the Emmys https://t.co/FItxvewdlp",2017-09-19 13:50:05+00:00,65,0.0,0.0,1.0,0.0
65,@nytimes,RT @mikiebarb: Must listen: @kenvogel describes when he realized Trump's lawyers were dishing about the Mueller probe over lunch: https://t…,2017-09-19 13:47:28+00:00,66,0.0,0.0,1.0,0.0
66,@nytimes,The 2017 hurricane season really is more intense than normal https://t.co/If4xZMI6qG,2017-09-19 13:40:10+00:00,67,0.216,0.157,0.843,0.0
67,@nytimes,Scottie Nell Hughes claims Fox News blacklisted her after she told the network she had been raped by Charles Payne https://t.co/S8qsBOxA0x,2017-09-19 13:30:10+00:00,68,-0.6808,0.0,0.813,0.187
68,@nytimes,"James Corden denies Kissing Sean Spicer — then apologizes, sort of. Our late-night roundup: https://t.co/KktLdthv96",2017-09-19 13:20:09+00:00,69,0.5267,0.31,0.55,0.14
69,@nytimes,Opinion: The Republican health care zombie is back https://t.co/sOpfm6c9V4,2017-09-19 13:00:10+00:00,70,0.4939,0.286,0.714,0.0
70,@nytimes,"The UN General Assembly is a particularly big moment for Trump, who will address the gathering for the first time https://t.co/kDUUvIVkKz",2017-09-19 12:51:09+00:00,71,0.0,0.0,1.0,0.0
71,@nytimes,"""There are moments where you go, why? Why take it that far?"" Jennifer Lawrence talks about ""Mother!"" https://t.co/ohrveapAks",2017-09-19 12:36:05+00:00,72,0.0,0.0,1.0,0.0
72,@nytimes,"Toys ""R"" Us filed for Chapter 11 bankruptcy protection, acknowledging it needed to revamp its long-term debt https://t.co/EHiieKFSyE",2017-09-19 12:21:03+00:00,73,-0.3612,0.0,0.872,0.128
73,@nytimes,"Scout Schultz, a Georgia Tech student leader who was shot dead by campus police, had left suicide notes https://t.co/TQgQVZpU1Q",2017-09-19 12:10:05+00:00,74,-0.8689,0.0,0.645,0.355
74,@nytimes,Morning Briefing: Here's what you need to know to start your day https://t.co/e0q3ns6RVM https://t.co/pFadDWlLlm,2017-09-19 12:00:25+00:00,75,0.0,0.0,1.0,0.0
75,@nytimes,"""So far we have lost all what money can buy and replace,"" Dominica’s prime minister wrote on Facebook https://t.co/WpoWCj9aBQ",2017-09-19 11:51:07+00:00,76,-0.3182,0.0,0.887,0.113
76,@nytimes,"Donald Trump Jr. gives up Secret Service protection, seeking privacy https://t.co/vmvZ3ULOe6",2017-09-19 11:40:06+00:00,77,0.0,0.0,1.0,0.0
77,@nytimes,"A Russian court refuses to reveal the fate of Raoul Wallenberg, the Swedish diplomat who saved Jews during WWII https://t.co/4pPWs8LaBQ",2017-09-19 11:30:07+00:00,78,0.4215,0.135,0.865,0.0
78,@nytimes,The Trump administration rejects a study showing positive impact of refugees https://t.co/8AOGh59Efh,2017-09-19 11:20:05+00:00,79,0.1027,0.228,0.57,0.203
79,@nytimes,The State Department tightens rules for visas to the U.S. https://t.co/vIzL5YdLqR,2017-09-19 11:10:03+00:00,80,0.0,0.0,1.0,0.0
80,@nytimes,A German court fined 3 people for failing to help an elderly man who had collapsed near ATMs https://t.co/iTbmh0wqf1,2017-09-19 11:00:12+00:00,81,-0.4019,0.122,0.633,0.244
81,@nytimes,Mueller and his team have used what some describe as shock-and-awe tactics in the Russia investigation https://t.co/3XP2NeTSrf,2017-09-19 10:50:02+00:00,82,0.0,0.0,1.0,0.0
82,@nytimes,"Robert Mueller's prosecutors told Paul Manafort they planned to indict him, said 2 people close to the investigation https://t.co/IpIvZuZPDB",2017-09-19 10:40:08+00:00,83,0.0,0.0,1.0,0.0
83,@nytimes,Morning Briefing: Here's what you need to know to start your day https://t.co/ufDYEQNPwt https://t.co/7nTguCfFtE,2017-09-19 10:30:07+00:00,84,0.0,0.0,1.0,0.0
84,@nytimes,Iceland's government falls after a letter asking to pardon a convicted pedophile https://t.co/TJfBx27X9X,2017-09-19 10:15:05+00:00,85,0.3182,0.187,0.813,0.0
85,@nytimes,"""He was quiet and kept to himself. You know, head down, never smiled."" On the suspects in the London Tube bombing: https://t.co/u7PDCbfGdV",2017-09-19 10:00:11+00:00,86,-0.34,0.0,0.897,0.103
86,@nytimes,"The island nation of Dominica has suffered ""mind boggling"" damage, its leader said https://t.co/nLGDvYGXFp",2017-09-19 09:49:23+00:00,87,-0.7506,0.0,0.652,0.348
87,@nytimes,"Breaking News: Hurricane Maria has begun to batter the Caribbean
https://t.co/6OjJWz3Qg4",2017-09-19 09:48:39+00:00,88,0.0,0.0,1.0,0.0
88,@nytimes,An angry confrontation. Fears of recordings. Trump’s lawyers are clashing over cooperating with the Russia inquiry. https://t.co/RZjP552Gn2,2017-09-19 09:45:07+00:00,89,-0.8126,0.0,0.625,0.375
89,@nytimes,Photos from the Emmys red carpet https://t.co/AOaMHo7mRJ,2017-09-19 09:30:08+00:00,90,0.0,0.0,1.0,0.0
90,@nytimes,A group of amateur UK archaeologists stumble on a Roman masterpiece https://t.co/GrhBIgcmO3,2017-09-19 09:15:06+00:00,91,0.6249,0.313,0.687,0.0
91,@nytimes,Satellite images show that at least 200 villages of Myanmar’s Rohingya ethnic minority have been set on fire https://t.co/ZRlsu9ymbt,2017-09-19 09:00:15+00:00,92,-0.34,0.0,0.882,0.118
92,@nytimes,"RT @nytopinion: Yugoslav punk bands already existed by 1977, the year the Clash released its first album in Britain https://t.co/g3yjlkTp5U",2017-09-19 08:44:05+00:00,93,0.0,0.0,1.0,0.0
93,@nytimes,"They picked Manafort's lock in July, raided his home and threatened to indict him. Inside Mueller's tough tactics: https://t.co/VUDgPZeNUB",2017-09-19 08:30:05+00:00,94,-0.5423,0.0,0.791,0.209
94,@nytimes,"RT @EllenBarryNYT: Did you read ""How to Get Away With Murder in Small-Town India""? The UP police did. And there's been an arrest. https://t…",2017-09-19 08:15:05+00:00,95,-0.7964,0.0,0.756,0.244
95,@nytimes,"New Zealanders rarely get a chance to see movies in their own indigenous language. That changed with ""Moana."" https://t.co/kRSGbWzdDy",2017-09-19 07:55:07+00:00,96,-0.1877,0.0,0.907,0.093
96,@nytimes,An 18-year-old Iraqi orphan and a 21-year-old from Syria: the two suspects in the London Underground bombing https://t.co/TbR0tJCx4y,2017-09-19 07:40:06+00:00,97,-0.34,0.0,0.87,0.13
97,@nytimes,"In Turkey's new curriculum, Darwin is out, jihad is in and Erdogan's crackdown on opposition is lauded as ""heroic"" https://t.co/Q6LpTNYue8",2017-09-19 07:30:05+00:00,98,0.0,0.0,1.0,0.0
98,@nytimes,"Toys “R” Us, one of the world’s largest toy store chains, has filed for bankruptcy protection https://t.co/0Dy56A8CIP",2017-09-19 07:20:05+00:00,99,0.0,0.0,1.0,0.0
99,@nytimes,Apple’s iOS11 for iPhones and iPads is set to roll out on Tuesday. Here are some of the biggest changes: https://t.co/CVED5I7YdL,2017-09-19 07:10:07+00:00,100,0.0,0.0,1.0,0.0
100,@FoxNews,Woman kayaker in Amazon shot dead by pirates who robbed for her GoPro https://t.co/nUDT4liJMJ via @TheSun,2017-09-20 03:24:38+00:00,1,-0.5574,0.085,0.7,0.215
101,@FoxNews,#Hannity: 'President #Trump Has Been Vindicated' By Report of Spying on Manafort https://t.co/hVYKiUvd8s,2017-09-20 03:00:16+00:00,2,0.4215,0.189,0.811,0.0
102,@FoxNews,"Venezuelan Envoy Compares Trump's UN Speech to Reagan, Thinks It's an Insult https://t.co/lHqV86GLjj",2017-09-20 02:59:36+00:00,3,-0.5106,0.0,0.784,0.216
103,@FoxNews,Pres. el-Sisi: Rectifying the religious rhetoric means that we want to filter the false ideology &amp; the misconceptio… https://t.co/CkkYLwmEhS,2017-09-20 02:54:12+00:00,4,0.0772,0.067,0.933,0.0
104,@FoxNews,".@GovMikeHuckabee: ""[President #Trump's] speech today was bold, and it was a mark of clarity."" #Hannity https://t.co/ymLAONJm6e",2017-09-20 02:45:48+00:00,5,0.3818,0.157,0.843,0.0
105,@FoxNews,Fallen soldier's arrival home brings plane's passengers to tears https://t.co/Ou5IfBKLiT,2017-09-20 02:21:38+00:00,6,-0.5267,0.0,0.645,0.355
106,@FoxNews,".@seanhannity: ""It's beyond refreshing and encouraging to have a president who is not afraid to call out radical Is… https://t.co/tetVXBB2lb",2017-09-20 02:16:51+00:00,7,0.5267,0.159,0.841,0.0
107,@FoxNews,".@jessebwatters on @BarackObama's reported Wall Street speeches:  ""He finally came around to capitalism."" #TheFive… https://t.co/iATa0LACrP",2017-09-20 01:55:15+00:00,8,0.0,0.0,1.0,0.0
108,@FoxNews,"NJ Gov. Candidate Sends Democratic Opponent a Box of Calculators to Help Find 'True Cost' of Campaign Promises    
  https://t.co/mqKg58nieQ",2017-09-20 01:50:09+00:00,9,0.7964,0.351,0.649,0.0
109,@FoxNews,".@TuckerCarlson Battles #DACA Supporter: 'You Get Arrested for Not Having a Hunting License' #Tucker
 https://t.co/hXYalgZdNL",2017-09-20 01:43:43+00:00,10,-0.5574,0.112,0.585,0.303
110,@FoxNews,"Austin bakery at center of gun rights debate after evicting customer with concealed weapon
 https://t.co/amxO8qGYWF",2017-09-20 01:37:31+00:00,11,-0.5574,0.0,0.739,0.261
111,@FoxNews,.@kimguilfoyle on warning to Kim Jong Un: This has become full-time job dealing w/ Rocket Man. He has a funny name… https://t.co/NYrKMrz7Eh,2017-09-20 01:29:43+00:00,12,0.128,0.119,0.782,0.099
112,@FoxNews,"Teen returns wallet w/ $1500 cash. Woman in home said, ""It's sad that I didn't trust him to open my door when he wa… https://t.co/TGUn6pZ73v",2017-09-20 01:06:48+00:00,13,-0.7005,0.0,0.791,0.209
113,@FoxNews,Hocus POTUS: CA Witch Talks Casting Monthly 'Binding' Spell on @POTUS | #Tucker https://t.co/ksJMBuDOuD,2017-09-20 01:04:03+00:00,14,-0.3612,0.0,0.828,0.172
114,@FoxNews,"Hurricane Maria takes aim at Puerto Rico, US Virgin Islands as Category 5 storm strengthens https://t.co/mPPOtIitWJ https://t.co/3xauGimvd6",2017-09-20 01:02:23+00:00,15,0.4588,0.167,0.833,0.0
115,@FoxNews,"#Trump Addresses United Nations, Vows to 'Always Put America First' https://t.co/e76kJfEVPv",2017-09-20 00:56:37+00:00,16,0.4215,0.219,0.781,0.0
116,@FoxNews,.@jasoninthehouse: Those Preaching Tolerance Are 'Least Tolerant of Anybody' | #TheStory https://t.co/nEazn9mCHk,2017-09-20 00:31:36+00:00,17,0.0992,0.169,0.692,0.139
117,@FoxNews,.@TuckerCarlson Breaks Down New #Trump Wiretap Report: 'Rogue' Intel Agencies or DC 'Collusion'… https://t.co/RPHxOOy6k8,2017-09-20 00:31:05+00:00,18,0.0,0.0,1.0,0.0
118,@FoxNews,"Bill Richardson on North Korea: ""I don't think a preemptive military strike is going to work."" #Tucker https://t.co/1QaJCeh2bU",2017-09-20 00:28:45+00:00,19,-0.128,0.0,0.914,0.086
119,@FoxNews,Tillerson says Iran nuclear deal 'really has to be revisited' https://t.co/jX0dMGyLcz,2017-09-20 00:20:20+00:00,20,0.0,0.0,1.0,0.0
120,@FoxNews,Threatening a 'War Crime': Mainstream Media Reacts to #Trump's UN Speech https://t.co/LgbZrbhZAi,2017-09-20 00:19:14+00:00,21,-0.8074,0.0,0.552,0.448
121,@FoxNews,".@TheJuanWilliams: ""The kind of war that is being conducted against us is obviously a cyber war."" #Tucker https://t.co/2Q7JVN3CAw",2017-09-20 00:18:32+00:00,22,-0.6361,0.0,0.792,0.208
122,@FoxNews,".@jasoninthehouse: ""Those who preach the most tolerance are oftentimes those who are the least tolerant of anybody.… https://t.co/RhkDm3uRQb",2017-09-20 00:03:07+00:00,23,0.1727,0.123,0.788,0.089
123,@FoxNews,"7.1 magnitude earthquake kills more than 100 in Mexico, collapses buildings
https://t.co/333eyU0JOn",2017-09-19 23:53:17+00:00,24,-0.6908,0.0,0.637,0.363
124,@FoxNews,.@SenatorLankford previews public intel committee meeting with #Trump lawyer set for October. #TheStory https://t.co/RWXvqTcYTb,2017-09-19 23:43:52+00:00,25,0.0,0.0,1.0,0.0
125,@FoxNews,".@SenatorLankford: Wiretap reports are ""reason we need oversight"" over our intel operations. #TheStory https://t.co/xgGl18Z8Gv",2017-09-19 23:32:47+00:00,26,0.0,0.0,1.0,0.0
126,@FoxNews,.@marcthiessen reacts to @POTUS singling out rogue nations at United Nations General Assembly.… https://t.co/0iDiSRb819,2017-09-19 23:25:22+00:00,27,0.4215,0.177,0.823,0.0
127,@FoxNews,"State Secy Tillerson on Iran nuke deal: ""We can almost start the countdown clock as to when they will resume the nu… https://t.co/PQCbPKJBoH",2017-09-19 23:21:14+00:00,28,0.0,0.0,1.0,0.0
128,@FoxNews,".@marcthiessen: ""I thought it was an outstanding speech. It made me proud to be an American to hear my commander-in… https://t.co/wVgaQRl89u",2017-09-19 23:12:40+00:00,29,0.7964,0.272,0.728,0.0
129,@FoxNews,"Secretary of State Tillerson on @POTUS' speech at @UN: ""I thought the President's speech was extraordinary.""… https://t.co/jg5S32JzaC",2017-09-19 23:12:10+00:00,30,0.0,0.0,1.0,0.0
130,@FoxNews,"Robert Kennedy son pays fine after wild house party
 https://t.co/gyw7D750cx",2017-09-19 22:48:26+00:00,31,0.5423,0.36,0.64,0.0
131,@FoxNews,"Activists want ocean garbage patch to be new country
 https://t.co/xD1M1yjzFl",2017-09-19 22:36:00+00:00,32,0.0772,0.126,0.874,0.0
132,@FoxNews,".@ChrisStirewalt: Mueller v. #Trump is about to blow up
 https://t.co/j1SgRGsUVt",2017-09-19 22:20:50+00:00,33,0.0,0.0,1.0,0.0
133,@FoxNews,Hurricane warning vs. watch: How are they different? https://t.co/mrNpImsGff,2017-09-19 22:03:56+00:00,34,-0.34,0.0,0.769,0.231
134,@FoxNews,"Attorney General Jeff Sessions blasts California lawmakers for passing sanctuary state bill, says lives at stake
 https://t.co/Wmjo82lJSi",2017-09-19 21:49:25+00:00,35,0.0,0.0,1.0,0.0
135,@FoxNews,"Venezuelan Envoy Compares #Trump's @UN Speech to Reagan, Thinks It's an Insult 
 https://t.co/lHqV86GLjj",2017-09-19 21:26:47+00:00,36,-0.5106,0.0,0.784,0.216
136,@FoxNews,.@POTUS and @FLOTUS tweeted messages to those affected by the 7.1 magnitude earthquake near Mexico City on Tuesday.… https://t.co/RsfEwtsx2s,2017-09-19 20:56:58+00:00,37,-0.1531,0.0,0.918,0.082
137,@FoxNews,Third man arrested in London Underground attack https://t.co/4Gv1kkQU6t,2017-09-19 20:36:25+00:00,38,-0.7351,0.0,0.492,0.508
138,@FoxNews,Rescue workers &amp; volunteers search a building that collapsed after an earthquake in downtown Mexico City on Tuesday… https://t.co/W9EkcM4XKe,2017-09-19 20:28:20+00:00,39,0.296,0.154,0.748,0.098
139,@FoxNews,DEVELOPING: At least two people have reportedly died in Mexico after a 7.1 magnitude earthquake hit Tuesday. https://t.co/OiOxzx1WOh,2017-09-19 20:22:29+00:00,40,-0.5574,0.0,0.816,0.184
140,@FoxNews,"#PlannedParenthood hooks up with @okcupid. Guess what this cynical partnership is really about
 https://t.co/ElYX2xCNRf",2017-09-19 20:12:27+00:00,41,-0.4588,0.0,0.812,0.188
141,@FoxNews,"'They Should Be Walking With Blindfolds': @SenSchumer Blasts @GOP for 'TrumpCare II' Bill    
 https://t.co/IMYrrtaiye",2017-09-19 19:47:09+00:00,42,0.0,0.0,1.0,0.0
